TimeStamp,Column1,TotalCores
2017-01-01 00:00,m1str,149564
2017-01-01 00:00,m2str,136307
2017-01-01 00:00,m3str,124775
2017-01-01 00:00,m4str,87264
2017-01-01 01:00,m1str,149444
2017-01-01 01:00,m2str,136091
2017-01-01 01:00,m3str,124113
2017-01-01 01:00,m4str,86947
2017-01-01 02:00,m1str,150588
2017-01-01 02:00,m2str,135809
2017-01-01 02:00,m3str,124503
2017-01-01 02:00,m4str,88330
2017-01-01 03:00,m1str,150488
2017-01-01 03:00,m2str,134540
2017-01-01 03:00,m3str,123806
2017-01-01 03:00,m4str,88039
2017-01-01 04:00,m1str,151088
2017-01-01 04:00,m2str,133807
2017-01-01 04:00,m3str,124007
2017-01-01 04:00,m4str,88249
2017-01-01 05:00,m1str,152556
2017-01-01 05:00,m2str,134153
2017-01-01 05:00,m3str,124831
2017-01-01 05:00,m4str,89694
2017-01-01 06:00,m1str,153832
2017-01-01 06:00,m2str,134159
2017-01-01 06:00,m3str,125581
2017-01-01 06:00,m4str,90780
2017-01-01 07:00,m1str,152912
2017-01-01 07:00,m2str,133742
2017-01-01 07:00,m3str,125048
2017-01-01 07:00,m4str,90470
2017-01-01 08:00,m1str,151476
2017-01-01 08:00,m2str,134428
2017-01-01 08:00,m3str,124418
2017-01-01 08:00,m4str,89520
2017-01-01 09:00,m1str,149824
2017-01-01 09:00,m2str,135496
2017-01-01 09:00,m3str,123738
2017-01-01 09:00,m4str,88697
2017-01-01 10:00,m1str,149820
2017-01-01 10:00,m2str,136103
2017-01-01 10:00,m3str,124991
2017-01-01 10:00,m4str,89644
2017-01-01 11:00,m1str,148960
2017-01-01 11:00,m2str,137136
2017-01-01 11:00,m3str,125026
2017-01-01 11:00,m4str,87598
2017-01-01 12:00,m1str,148020
2017-01-01 12:00,m2str,138340
2017-01-01 12:00,m3str,125328
2017-01-01 12:00,m4str,87679
2017-01-01 13:00,m1str,147388
2017-01-01 13:00,m2str,138339
2017-01-01 13:00,m3str,125125
2017-01-01 13:00,m4str,87024
2017-01-01 14:00,m1str,150056
2017-01-01 14:00,m2str,138307
2017-01-01 14:00,m3str,127119
2017-01-01 14:00,m4str,88967
2017-01-01 15:00,m1str,150668
2017-01-01 15:00,m2str,139153
2017-01-01 15:00,m3str,127837
2017-01-01 15:00,m4str,89116
2017-01-01 16:00,m1str,149868
2017-01-01 16:00,m2str,139479
2017-01-01 16:00,m3str,127781
2017-01-01 16:00,m4str,88293
2017-01-01 17:00,m1str,148668
2017-01-01 17:00,m2str,139336
2017-01-01 17:00,m3str,127420
2017-01-01 17:00,m4str,87679
2017-01-01 18:00,m1str,149144
2017-01-01 18:00,m2str,140231
2017-01-01 18:00,m3str,128065
2017-01-01 18:00,m4str,88919
2017-01-01 19:00,m1str,149780
2017-01-01 19:00,m2str,140989
2017-01-01 19:00,m3str,128623
2017-01-01 19:00,m4str,88611
2017-01-01 20:00,m1str,149580
2017-01-01 20:00,m2str,141333
2017-01-01 20:00,m3str,128117
2017-01-01 20:00,m4str,87993
2017-01-01 21:00,m1str,149316
2017-01-01 21:00,m2str,140556
2017-01-01 21:00,m3str,128108
2017-01-01 21:00,m4str,87809
2017-01-01 22:00,m1str,153612
2017-01-01 22:00,m2str,140539
2017-01-01 22:00,m3str,127787
2017-01-01 22:00,m4str,87751
2017-01-01 23:00,m1str,152688
2017-01-01 23:00,m2str,139128
2017-01-01 23:00,m3str,126650
2017-01-01 23:00,m4str,87372
2017-01-02 00:00,m1str,148476
2017-01-02 00:00,m2str,138184
2017-01-02 00:00,m3str,126048
2017-01-02 00:00,m4str,88575
2017-01-02 01:00,m1str,149272
2017-01-02 01:00,m2str,137053
2017-01-02 01:00,m3str,125603
2017-01-02 01:00,m4str,88421
2017-01-02 02:00,m1str,149820
2017-01-02 02:00,m2str,136457
2017-01-02 02:00,m3str,125341
2017-01-02 02:00,m4str,89108
2017-01-02 03:00,m1str,149956
2017-01-02 03:00,m2str,135320
2017-01-02 03:00,m3str,124910
2017-01-02 03:00,m4str,89158
2017-01-02 04:00,m1str,150196
