TimeStamp,Column1,TotalCores
2019-08-06 00:00,t1str,59516
2019-08-06 00:00,t2str,89604
2019-08-06 00:00,t3str,108636
2019-08-06 00:00,t5str,90992
2019-08-06 00:00,t6str,95232
2019-08-06 00:00,t7str,41616
2019-08-06 01:00,t1str,59208
2019-08-06 01:00,t2str,89180
2019-08-06 01:00,t3str,108328
2019-08-06 01:00,t5str,89640
2019-08-06 01:00,t6str,95412
2019-08-06 01:00,t7str,40968
2019-08-06 02:00,t1str,58920
2019-08-06 02:00,t2str,88220
2019-08-06 02:00,t3str,107974
2019-08-06 02:00,t5str,89280
2019-08-06 02:00,t6str,94756
2019-08-06 02:00,t7str,38448
2019-08-06 03:00,t1str,58576
2019-08-06 03:00,t2str,88240
2019-08-06 03:00,t3str,108194
2019-08-06 03:00,t5str,88752
2019-08-06 03:00,t6str,94808
2019-08-06 03:00,t7str,37464
2019-08-06 04:00,t1str,58876
2019-08-06 04:00,t2str,87524
2019-08-06 04:00,t3str,108518
2019-08-06 04:00,t5str,88424
2019-08-06 04:00,t6str,94768
2019-08-06 04:00,t7str,39000
2019-08-06 05:00,t1str,58790
2019-08-06 05:00,t2str,86984
2019-08-06 05:00,t3str,107728
2019-08-06 05:00,t5str,87360
2019-08-06 05:00,t6str,94764
2019-08-06 05:00,t7str,38784
2019-08-06 06:00,t1str,57472
2019-08-06 06:00,t2str,86112
2019-08-06 06:00,t3str,107440
2019-08-06 06:00,t5str,86424
2019-08-06 06:00,t6str,94692
2019-08-06 06:00,t7str,37944
2019-08-06 07:00,t1str,55738
2019-08-06 07:00,t2str,86132
2019-08-06 07:00,t3str,107418
2019-08-06 07:00,t5str,87904
2019-08-06 07:00,t6str,94816
2019-08-06 07:00,t7str,37512
2019-08-06 08:00,t1str,55332
2019-08-06 08:00,t2str,86228
2019-08-06 08:00,t3str,107386
2019-08-06 08:00,t5str,87800
2019-08-06 08:00,t6str,95036
2019-08-06 08:00,t7str,37320
2019-08-06 09:00,t1str,55918
2019-08-06 09:00,t2str,85648
2019-08-06 09:00,t3str,107438
2019-08-06 09:00,t5str,87040
2019-08-06 09:00,t6str,94820
2019-08-06 09:00,t7str,37728
2019-08-06 10:00,t1str,56274
2019-08-06 10:00,t2str,86328
2019-08-06 10:00,t3str,106838
2019-08-06 10:00,t5str,89512
2019-08-06 10:00,t6str,95344
2019-08-06 10:00,t7str,38088
2019-08-06 11:00,t1str,57024
2019-08-06 11:00,t2str,87012
2019-08-06 11:00,t3str,107028
2019-08-06 11:00,t5str,89608
2019-08-06 11:00,t6str,94688
2019-08-06 11:00,t7str,40056
2019-08-06 12:00,t1str,57810
2019-08-06 12:00,t2str,86728
2019-08-06 12:00,t3str,107022
2019-08-06 12:00,t5str,90696
2019-08-06 12:00,t6str,94420
2019-08-06 12:00,t7str,42408
2019-08-06 13:00,t1str,56716
2019-08-06 13:00,t2str,87444
2019-08-06 13:00,t3str,107302
2019-08-06 13:00,t5str,90256
2019-08-06 13:00,t6str,94472
2019-08-06 13:00,t7str,44160
2019-08-06 14:00,t1str,57700
2019-08-06 14:00,t2str,88684
2019-08-06 14:00,t3str,107418
2019-08-06 14:00,t5str,90024
2019-08-06 14:00,t6str,95296
2019-08-06 14:00,t7str,42288
2019-08-06 15:00,t1str,56848
2019-08-06 15:00,t2str,89400
2019-08-06 15:00,t3str,107938
2019-08-06 15:00,t5str,89024
2019-08-06 15:00,t6str,94976
2019-08-06 15:00,t7str,43320
2019-08-06 16:00,t1str,58918
2019-08-06 16:00,t2str,88012
2019-08-06 16:00,t3str,108080
2019-08-06 16:00,t5str,91432
2019-08-06 16:00,t6str,94912
2019-08-06 16:00,t7str,45984
2019-08-06 17:00,t1str,57852
2019-08-06 17:00,t2str,89408
2019-08-06 17:00,t3str,108324
2019-08-06 17:00,t5str,90008
2019-08-06 17:00,t6str,94656
2019-08-06 17:00,t7str,44280
2019-08-06 18:00,t1str,58122
