TimeStamp,Column1,TotalCores
2019-08-06 00:00,41str,1013.45
2019-08-06 00:00,42str,2610.6
2019-08-06 00:00,64str,255.1
2019-08-06 00:00,65str,946.85
2019-08-06 01:00,41str,1016.65
2019-08-06 01:00,42str,2610.4
2019-08-06 01:00,64str,262.6
2019-08-06 01:00,65str,966.4
2019-08-06 02:00,41str,1021.15
2019-08-06 02:00,42str,2614.6
2019-08-06 02:00,64str,264.325
2019-08-06 02:00,65str,956.8
2019-08-06 03:00,41str,1021.25
2019-08-06 03:00,42str,2615.6
2019-08-06 03:00,64str,236.625
2019-08-06 03:00,65str,950.6
2019-08-06 04:00,41str,1016.6
2019-08-06 04:00,42str,2639.3
2019-08-06 04:00,64str,234.125
2019-08-06 04:00,65str,946.45
2019-08-06 05:00,41str,1018.2
2019-08-06 05:00,42str,2622.6
2019-08-06 05:00,64str,240.125
2019-08-06 05:00,65str,942.25
2019-08-06 06:00,41str,1019.2
2019-08-06 06:00,42str,2608.05
2019-08-06 06:00,64str,242.15
2019-08-06 06:00,65str,948.1
2019-08-06 07:00,41str,1025.1
2019-08-06 07:00,42str,2581.15
2019-08-06 07:00,64str,231.2
2019-08-06 07:00,65str,955.8
2019-08-06 08:00,41str,1013.85
2019-08-06 08:00,42str,2563.5
2019-08-06 08:00,64str,241.6
2019-08-06 08:00,65str,965.55
2019-08-06 09:00,41str,1012.85
2019-08-06 09:00,42str,2536.5
2019-08-06 09:00,64str,249.775
2019-08-06 09:00,65str,953.3
2019-08-06 10:00,41str,1013.05
2019-08-06 10:00,42str,2515.65
2019-08-06 10:00,64str,242.8
2019-08-06 10:00,65str,954.95
2019-08-06 11:00,41str,1012.475
2019-08-06 11:00,42str,2511.9
2019-08-06 11:00,64str,316.725
2019-08-06 11:00,65str,950.85
2019-08-06 12:00,41str,1016.45
2019-08-06 12:00,42str,2519.7
2019-08-06 12:00,64str,331.55
2019-08-06 12:00,65str,984.75
2019-08-06 13:00,41str,1002.55
2019-08-06 13:00,42str,2505.8
2019-08-06 13:00,64str,287.95
2019-08-06 13:00,65str,970.35
2019-08-06 14:00,41str,1003.375
2019-08-06 14:00,42str,2521.65
2019-08-06 14:00,64str,308.225
2019-08-06 14:00,65str,983.6
2019-08-06 15:00,41str,1003.55
2019-08-06 15:00,42str,2513.1
2019-08-06 15:00,64str,346.375
2019-08-06 15:00,65str,984.9
2019-08-06 16:00,41str,1036.3
2019-08-06 16:00,42str,2539.45
2019-08-06 16:00,64str,356.325
2019-08-06 16:00,65str,977.95
2019-08-06 17:00,41str,1005.225
2019-08-06 17:00,42str,2558.8
2019-08-06 17:00,64str,262.4
2019-08-06 17:00,65str,987.4
2019-08-06 18:00,41str,1005.425
2019-08-06 18:00,42str,2575.05
2019-08-06 18:00,64str,262.2
2019-08-06 18:00,65str,985.1
2019-08-06 19:00,41str,1007.7
2019-08-06 19:00,42str,2569.65
2019-08-06 19:00,64str,269.575
2019-08-06 19:00,65str,987.85
2019-08-06 20:00,41str,1007.7
2019-08-06 20:00,42str,2602.35
2019-08-06 20:00,64str,268.975
2019-08-06 20:00,65str,992.1
2019-08-06 21:00,41str,1025.975
2019-08-06 21:00,42str,2613.55
2019-08-06 21:00,64str,248.775
2019-08-06 21:00,65str,986.9
2019-08-06 22:00,41str,1005.875
2019-08-06 22:00,42str,2630.5
2019-08-06 22:00,64str,278.8
2019-08-06 22:00,65str,988.95
2019-08-06 23:00,41str,1008.025
2019-08-06 23:00,42str,2637.5
2019-08-06 23:00,64str,245.9
2019-08-06 23:00,65str,986
2019-08-07 00:00,41str,1049.475
2019-08-07 00:00,42str,2647.9
2019-08-07 00:00,64str,243.8
2019-08-07 00:00,65str,980.9
2019-08-07 01:00,41str,1006.575
2019-08-07 01:00,42str,2626.1
2019-08-07 01:00,64str,259.825
2019-08-07 01:00,65str,976.85
2019-08-07 02:00,41str,1006.45
2019-08-07 02:00,42str,2631.1
2019-08-07 02:00,64str,258.65
2019-08-07 02:00,65str,974.15
2019-08-07 03:00,41str,1007.325
2019-08-07 03:00,42str,2634
2019-08-07 03:00,64str,302.825
2019-08-07 03:00,65str,962.65
2019-08-07 04:00,41str,1010.5
2019-08-07 04:00,42str,2645.95
2019-08-07 04:00,64str,309
